Manufacturer,Model,Price,Transmission,Power,Engine CC,Total,Manufacturer_le,Model_freq,Fuel_automatic,Fuel_diesel,Fuel_petrol
Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,1293390,17,16,0,0,1
Ford,Fiesta,18.53214286,5.714285714,68.57142857,1166.142857,1240602,17,20,0,0,1
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,841383,50,20,0,0,1
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,581847,38,20,0,0,1
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,552984,4,20,0,0,1
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,547144,50,20,0,0,1
Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,455447,36,16,0,0,1
Ford,Mondeo,39.97375,1.75,130.25,1998.5,443605,17,20,0,0,1
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,422837,34,20,0,0,1
Honda,Civic,29.942625,4.5,106.225,1480.575,396188,18,20,0,0,1
Ford,Ka+,15.46,5.0,60.8,1196.0,392460,17,18,0,0,1
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,387035,38,18,0,0,1
Toyota,Yaris,20.7206,3.52,74.4,1397.8,380521,48,15,0,0,1
Mercedes,CLA,46.5274,7.04,131.6,1596.92,296091,30,33,0,0,1
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,275602,3,19,0,0,1
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,274614,50,20,0,0,1
Honda,Jazz,26.3525,0.0,80.0,1498.0,258124,18,12,0,0,1
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,256455,3,17,0,0,1
Peugeot,307,27.46483636,4.872727273,86.45454545,1723.0,256114,36,13,0,0,1
Peugeot,207,21.70216667,4.9,79.76666667,1536.0,251753,36,8,0,0,1
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,243925,8,16,0,0,1
Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,207716,42,14,0,0,1
BMW,118i,37.4265,6.2,104.2,1796.6,203185,4,10,0,0,1
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,187569,24,16,0,1,0
Citroen,C3,22.90364865,5.405405405,75.64864865,1364.0,186698,8,12,0,0,1
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,184222,48,20,0,0,1
BMW,535i,93.71425,8.0,225.0,2979.0,169329,4,20,0,0,1
Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,163108,48,16,0,0,1
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,158564,30,20,0,0,1
Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,156802,38,11,0,1,0
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,154894,41,20,0,0,1
Land-Rover,Discovery,107.4521429,8.0,182.5714286,2425.428571,148576,24,20,0,1,0
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,148446,24,40,0,1,0
Nissan,Qashqai+2,34.93603125,5.25,97.71875,1820.65625,144659,34,7,0,1,0
Skoda,Octavia,30.65053846,6.346153846,95.0,1136.692308,142237,42,16,0,0,1
Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,140639,16,6,0,1,0
Mercedes,A,31.1045119,4.547619048,93.01190476,1699.119048,134165,30,16,0,0,1
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,130632,34,19,0,0,1
Citroen,C4,29.26025,5.95,90.625,1462.3625,127281,8,9,0,0,1
Mini,One,24.09525,6.25,68.75,1498.25,124949,31,10,0,0,1
Toyota,RAV4,43.54851613,1.35483871,137.7741935,2261.193548,121566,48,20,0,0,1
Saab,9-3X,49.28583333,6.0,145.0,1963.666667,119305,40,16,0,0,1
Peugeot,107,11.14333333,5.0,50.0,998.0,112629,36,9,0,0,1
Toyota,Aygo,15.20916667,5.0,53.0,998.0,107356,48,9,0,0,1
Hyundai,I10,16.011,5.0,51.77777778,998.0,106796,19,6,0,0,1
Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,106514,3,19,0,1,0
Kia,Picanto,16.59192308,5.0,52.84615385,998.0,105385,21,10,0,0,1
Nissan,Note,19.31857143,5.0,66.42857143,1348.285714,101859,34,8,0,1,0
Seat,Leon,32.93965169,6.348314607,114.8202247,1615.370787,99504,41,14,0,0,1
Jaguar,XE,65.56875,8.0,167.25,1998.0,97090,20,13,0,0,1
Ford,Fusion,19.37890909,4.863636364,61.27272727,1470.909091,96939,17,12,0,0,1
Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,95320,18,20,0,0,1
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,93405,29,20,0,0,1
Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,93384,29,12,0,0,1
Citroen,C1,13.48615385,5.0,52.38461538,1028.923077,92422,8,9,0,0,1
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,90817,46,20,0,0,1
Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,90559,17,19,0,1,0
Peugeot,308,32.33086957,5.891304348,103.1086957,1482.5,90079,36,7,0,0,1
Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,89680,29,10,0,0,1
Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,89371,3,15,0,0,1
Renault,Laguna,34.02059211,5.552631579,99.0,1920.026316,86809,38,20,0,1,0
Mazda,2,21.6,6.0,64.625,1496.0,86198,29,11,0,0,1
Fiat,Panda,10.42388889,5.0,52.44444444,1095.777778,82232,16,20,0,0,1
Toyota,Auris,26.97346154,3.076923077,85.69230769,1515.282051,82030,48,7,0,0,1
Peugeot,306,18.64264,4.84,67.0,1698.64,81294,36,20,0,0,1
Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,80790,36,20,0,0,1
Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,78657,51,17,0,1,0
Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,74674,8,18,0,0,1
Volkswagen,Touran,32.98557692,6.230769231,94.03846154,1528.807692,70042,50,11,0,1,0
Volkswagen,Beetle,33.25025,6.166666667,112.75,1475.0,70001,50,20,0,0,1
Kia,Rio,22.95871429,6.285714286,80.0,998.0,67730,21,13,0,0,1
Ford,C-MAX,32.1815,6.0,99.0,1448.6,64302,17,7,0,0,1
BMW,X5,113.2693333,8.0,246.3333333,2994.666667,63675,4,13,0,1,0
Nissan,Juke,28.23090909,6.454545455,86.0,999.0,62415,34,4,0,0,1
Suzuki,Vitara,26.803,5.428571429,85.71428571,1310.0,61335,46,20,0,0,1
Kia,Ceed,26.97522727,5.863636364,88.09090909,1460.795455,59685,21,7,0,0,1
Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,59182,36,18,0,0,1
Hyundai,Getz,13.63642857,4.714285714,69.0,1424.857143,58992,19,12,0,0,1
Nissan,X-Trail,47.361875,3.75,113.375,1774.8125,58825,34,12,0,1,0
Mercedes,CLK,72.79589474,6.210526316,166.3157895,3041.0,58391,30,16,0,0,1
Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,58177,51,18,0,0,1
Rover,75,39.35238095,5.0,98.04761905,1928.714286,57445,39,15,0,0,1
Citroen,Berlingo,27.4386,6.34,85.28,1452.0,56357,8,15,0,1,0
Suzuki,Alto,9.5628,4.6,50.0,996.0,56169,46,20,0,0,1
Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,55803,34,20,0,0,1
Hyundai,I20,21.847,6.090909091,70.72727273,1052.272727,55498,19,5,0,0,1
Mercedes,SLK,61.86283333,6.833333333,184.1666667,2748.333333,53959,30,17,0,0,1
Ford,S-MAX,47.52333333,6.0,128.8888889,1886.555556,52170,17,8,0,1,0
Mercedes,ML,77.41666667,7.0,188.3333333,2876.0,52160,30,15,0,1,0
Kia,Sportage,43.97,6.6,115.3,1634.2,51834,21,18,0,1,0
Peugeot,407,38.72769231,5.538461538,114.6538462,2178.192308,51825,36,10,0,1,0
Citroen,C2,15.14,5.0,64.0,1382.75,51614,8,11,0,0,1
Hyundai,I30,28.60918919,5.945945946,100.5945946,1387.621622,51490,19,7,0,0,1
Jaguar,XF,78.74625,8.0,176.25,1997.0,50657,20,6,0,1,0
Audi,A1,27.08277108,6.228915663,86.63855422,1377.566265,49791,3,3,0,0,1
Mitsubishi,Colt,17.03876744,5.302325581,73.48837209,1374.046512,48805,32,20,0,0,1
Audi,A5,59.43242424,7.0,150.4545455,1981.818182,46703,3,7,0,0,1
Ford,Kuga,38.7525,0.0,165.0,2488.0,45928,17,6,0,0,1
Toyota,Prius,33.798,0.0,96.0,1797.4,44847,48,10,0,0,1
Jaguar,S-Type,66.58842105,5.736842105,172.3157895,2934.631579,43876,20,15,0,0,1
Volvo,V50,36.52419118,5.176470588,113.3529412,2106.5,43742,51,10,0,0,1
Ford,Escort,16.20874359,4.461538462,63.56410256,1650.205128,43527,17,20,0,0,1
Volvo,XC90,85.82946154,8.0,213.1538462,1969.0,42273,51,11,0,0,1
Citroen,C5,34.9090566,5.603773585,104.2264151,1805.924528,42173,8,13,0,1,0
Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,41308,51,18,0,0,1
BMW,X3,76.5922,8.0,184.0,2396.4,40319,4,10,0,0,1
Volkswagen,Tiguan,44.30857143,6.714285714,108.0,1663.928571,39396,50,6,0,0,1
Mercedes,B,41.38957143,7.285714286,105.7142857,1545.428571,36741,30,9,0,1,0
Smart,Fortwo,19.9680625,2.8125,55.375,592.5625,36699,43,9,1,0,0
Volkswagen,Bora,25.39952941,4.647058824,78.85294118,1891.588235,36406,50,15,0,0,1
Rover,45,23.322,3.75,84.2,1853.9,35521,39,14,0,0,1
Porsche,911,158.7922667,7.466666667,293.5333333,3005.4,34977,37,20,0,0,1
Jaguar,XJ,137.5695455,8.0,223.5454545,2813.0,34876,20,20,0,0,1
Subaru,Impreza,30.5976,1.8,97.6,1757.6,34850,45,20,0,0,1
Saab,09-May,52.95719388,5.653061224,146.122449,2031.469388,34327,40,16,0,0,1
Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,33552,48,20,0,0,1
Volkswagen,Sharan,45.6995,6.0,114.0,1854.2,33512,50,18,0,1,0
Hyundai,Santa,44.14181818,6.545454545,144.6363636,2242.636364,33372,19,13,0,1,0
Peugeot,208,22.84857143,6.523809524,73.23809524,1241.857143,32520,36,2,0,0,1
Volvo,S60,52.085,8.0,223.8333333,1969.0,31933,51,13,0,0,1
Citroen,DS3,23.35964286,5.25,81.28571429,1410.357143,31655,8,4,0,0,1
Renault,Modus,17.82333333,4.666666667,70.33333333,1298.666667,30708,38,10,0,0,1
MG,ZR,21.02333333,5.0,92.33333333,1729.333333,30705,27,13,0,0,1
Chrysler,Voyager,39.70773684,4.842105263,117.5789474,2719.842105,30389,7,16,0,1,0
Kia,Sorento,36.01325,6.0,151.6666667,2048.666667,29697,21,11,0,0,1
BMW,Z4,64.109625,6.75,202.125,2778.0,29553,4,11,0,0,1
Rover,2000,17.182,5.0,74.0,1994.0,29537,39,31,0,0,1
Volkswagen,Up,17.065625,5.125,51.375,999.0,29196,50,2,0,0,1
Suzuki,Jimny,25.94322222,4.777777778,67.0,1372.666667,28841,46,15,0,0,1
Chevrolet,Matiz,9.492272727,4.909090909,40.81818182,850.2727273,28470,6,9,0,0,1
Porsche,Boxster,83.50125,6.5,213.5,3071.0,27942,37,16,0,0,1
Suzuki,Wagon,9.8628,5.0,50.0,1090.4,27324,46,16,0,0,1
Peugeot,3008,40.98307692,7.307692308,114.2692308,1352.576923,27258,36,4,0,0,1
Mazda,323,17.34364706,4.745098039,70.92156863,1683.607843,26969,29,20,0,0,1
Ford,Puma,30.3775,6.3125,94.0625,935.625,26865,17,17,0,0,1
Fiat,Stilo,22.77681818,5.272727273,92.36363636,1837.363636,26157,16,12,0,0,1
Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,25113,50,20,0,0,1
Jaguar,XK,145.6466667,6.0,283.0,5000.0,24771,20,18,0,0,1
Seat,Altea,27.13,5.768421053,96.05263158,1774.778947,24651,41,10,0,1,0
